label,id,type
Gabon,Q1000,Country
Southeast Asianist,Q100253449,Occupation
The Gambia,Q1005,Country
Guinea,Q1006,Country
slaveholder,Q10076267,Occupation
Buddhologist,Q100851212,Occupation
Cameroon,Q1009,Country
folk musician,Q101084010,Occupation
urban studies scholar,Q101244323,Occupation
Liberia,Q1014,Country
flight attendant,Q101539,Occupation
Libya,Q1016,Country
business analyst,Q1017553,Occupation
Madagascar,Q1019,Country
civil rights advocate,Q1021386,Occupation
vaudeville performer,Q102253066,Occupation
gospel singer,Q102276804,Occupation
Mauritius,Q1027,Country
agricultural engineer,Q10272925,Occupation
Morocco,Q1028,Country
painter,Q1028181,Occupation
crime writer,Q10297252,Occupation
Nigeria,Q1033,Country
racing automobile driver,Q10349745,Occupation
advertising person,Q10355417,Occupation
Uganda,Q1036,Country
Rwanda,Q1037,Country
drug trafficker,Q10384029,Occupation
São Tomé and Príncipe,Q1039,Country
Seychelles,Q1042,Country
rock singer,Q104218554,Occupation
bibliographer,Q10429346,Occupation
Sierra Leone,Q1044,Country
vicar general,Q1044528,Occupation
Somalia,Q1045,Country
ballooning,Q104534577,Occupation
Sudan,Q1049,Country
aerospace engineer,Q10497074,Occupation
entrepreneur,Q10501288,Occupation
Commissioner of Baseball,Q1051088,Occupation
pharmacist,Q105186,Occupation
humanist,Q10527030,Occupation
executive producer,Q1053574,Occupation
FBI agent,Q105379199,Occupation
local politician,Q10547393,Occupation
British Hong Kong,Q1054923,Country
military aviator,Q105550321,Occupation
research scientist,Q105574528,Occupation
head teacher,Q1056391,Occupation
soul musician,Q105652947,Occupation
marine officer,Q10577462,Occupation
vampire hunter,Q1058307,Occupation
double agent,Q1058375,Occupation
private investigator,Q1058617,Occupation
video installation artist,Q106227216,Occupation
character designer,Q1062952,Occupation
patent agent,Q106385760,Occupation
studio musician,Q10666486,Occupation
minister of the Navy,Q10669482,Occupation
naval officer,Q10669499,Occupation
managing editor,Q1068933,Occupation
textile artist,Q10694573,Occupation
necropolis scholar,Q107017212,Occupation
company director,Q107100767,Occupation
barber,Q107198,Occupation
white supremacist,Q107237082,Occupation
Pahlavi Iran,Q107258515,Country
pirate,Q10729326,Occupation
art collector,Q10732476,Occupation
keyboardist,Q1075651,Occupation
Muslim minister,Q107637527,Occupation
choir director,Q1076502,Occupation
firefighter,Q107711,Occupation
performance artist,Q10774753,Occupation
television actor,Q10798782,Occupation
film actor,Q10800557,Occupation
pedagogical writer,Q108046935,Occupation
naval aviator,Q108114975,Occupation
club DJ,Q10816969,Occupation
tennis player,Q10833314,Occupation
Formula One driver,Q10841764,Occupation
race car driver,Q10842936,Occupation
field hockey player,Q10843263,Occupation
swimmer,Q10843402,Occupation
bouncer,Q10860242,Occupation
etcher,Q10862983,Occupation
speed skater,Q10866633,Occupation
columnist,Q1086863,Occupation
baseball player,Q10871364,Occupation
anatomist,Q10872101,Occupation
chess player,Q10873124,Occupation
weapon historian,Q108741972,Occupation
misinformation creator,Q108866986,Occupation
financial planner,Q1089801,Occupation
auditor,Q10949665,Occupation
ruler,Q1097498,Occupation
assembly line worker,Q11010088,Occupation
astronomer,Q11063,Occupation
war criminal,Q11075015,Occupation
interpreter,Q11085831,Occupation
chartered accountant,Q1108818,Occupation
colorist,Q1111648,Occupation
tanka poet,Q11122954,Occupation
climatologist,Q1113838,Occupation
clinical psychologist,Q1113899,Occupation
cartoonist,Q1114448,Occupation
lumberjack,Q1124183,Occupation
industrial designer,Q11287574,Occupation
kickboxer,Q11296761,Occupation
sporting director,Q1130252,Occupation
golfer,Q11303721,Occupation
sportswriter,Q11313148,Occupation
professional baseball player,Q11336312,Occupation
boxer,Q11338576,Occupation
Chinese Soviet Republic,Q1135255,Country
frogman,Q1137295,Occupation
health administration,Q1137608,Occupation
swordfighter,Q11397897,Occupation
Kenya,Q114,Country
stripper,Q1141526,Occupation
earth scientist,Q11424604,Occupation
agriculture,Q11451,Occupation
dub actor,Q11481802,Occupation
architectural historian,Q11486702,Occupation
impressionist,Q1148872,Occupation
war photographer,Q11496048,Occupation
political activist,Q11499147,Occupation
political pundit,Q11499163,Occupation
athletics competitor,Q11513337,Occupation
inker,Q1153051,Occupation
spree killer,Q1154323,Occupation
weather presenter,Q1154500,Occupation
military commander,Q11545923,Occupation
correspondent,Q1155838,Occupation
printmaker,Q11569986,Occupation
royalty,Q11573099,Occupation
monarch,Q116,Occupation
Mental Health Social Worker,Q11604684,Occupation
mixed martial arts fighter,Q11607585,Occupation
fundraising,Q1161355,Occupation
director,Q1162163,Occupation
